timestamp	phase	score	words	keep_discard	description
ebc43a3	ch01	7.0	2445	keep	Chapter 1 (attempt 1)
discarded	ch02	5.1	3220	discard	Chapter 2 attempt 1
cfee8e9	ch02	6.1	2695	keep	Chapter 2 (attempt 2)
e34ca1d	ch03	7.0	2762	keep	Chapter 3 (attempt 1)
discarded	ch04	-1.0	3317	discard	Chapter 4 attempt 1
7d3f1a1	ch04	6.4	3112	keep	Chapter 4 (attempt 2)
discarded	ch05	5.8	3547	discard	Chapter 5 attempt 1
5911434	ch05	6.0	2464	keep	Chapter 5 (attempt 2)
discarded	ch06	4.6	3130	discard	Chapter 6 attempt 1
9242dab	ch06	6.0	3166	keep	Chapter 6 (attempt 2)
dd82555	ch07	6.1	3946	keep	Chapter 7 (attempt 1)
discarded	ch08	5.7	3804	discard	Chapter 8 attempt 1
6a14112	ch08	6.1	3371	keep	Chapter 8 (attempt 2)
c16689f	ch09	6.7	3019	keep	Chapter 9 (attempt 1)
9531f27	ch10	6.0	3680	keep	Chapter 10 (attempt 1)
discarded	ch11	5.7	2422	discard	Chapter 11 attempt 1
discarded	ch11	-1.0	2266	discard	Chapter 11 attempt 2
discarded	ch11	5.8	2864	discard	Chapter 11 attempt 3
discarded	ch11	5.5	2088	discard	Chapter 11 attempt 4
discarded	ch11	5.7	2419	discard	Chapter 11 attempt 5
discarded	ch12	5.9	2737	discard	Chapter 12 attempt 1
cd67c83	ch12	6.0	2612	keep	Chapter 12 (attempt 2)
discarded	ch13	5.3	4150	discard	Chapter 13 attempt 1
45dcec1	ch13	6.2	3448	keep	Chapter 13 (attempt 2)
discarded	ch14	-1.0	2052	discard	Chapter 14 attempt 1
cc5e49f	ch14	6.7	3013	keep	Chapter 14 (attempt 3)
97aa330	ch15	7.0	2765	keep	Chapter 15 (attempt 1)
16fce0b	ch16	6.0	1412	keep	Chapter 16 (attempt 1)
discarded	ch17	5.7	5091	discard	Chapter 17 attempt 1
